id,alert_id,entity_id,investigator,narrative,investigation_depth,sla_hours
case-000127,al-000232,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000128,al-000234,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000129,al-000236,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000130,al-000238,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000131,al-000240,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000132,al-000242,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000133,al-000244,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000134,al-000246,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000135,al-000248,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000136,al-000250,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000137,al-000252,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000138,al-000254,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000139,al-000255,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000140,al-000256,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000141,al-000258,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000142,al-000260,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000143,al-000262,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000144,al-000264,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000145,al-000266,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000146,al-000268,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000147,al-000270,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000148,al-000272,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000149,al-000274,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000150,al-000276,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000151,al-000278,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000152,al-000280,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000153,al-000282,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000154,al-000284,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000155,al-000286,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000156,al-000288,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000157,al-000289,ent-001,analyst-02,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000158,al-000290,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000159,al-000292,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000160,al-000294,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000161,al-000296,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000162,al-000298,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000163,al-000300,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000164,al-000302,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000165,al-000304,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000166,al-000306,ent-006,analyst-19,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000167,al-000308,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000168,al-000310,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000169,al-000312,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000170,al-000314,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000171,al-000315,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000172,al-000316,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000173,al-000318,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000174,al-000320,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000175,al-000322,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000176,al-000323,ent-011,analyst-12,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000177,al-000324,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000178,al-000326,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000179,al-000328,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000180,al-000330,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000181,al-000332,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000182,al-000334,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000183,al-000336,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000184,al-000338,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000185,al-000340,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000186,al-000342,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000187,al-000344,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000188,al-000346,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000189,al-000348,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000190,al-000350,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000191,al-000352,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000192,al-000354,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000193,al-000356,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000194,al-000357,ent-009,analyst-22,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000195,al-000358,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000196,al-000360,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000197,al-000362,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000198,al-000364,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000199,al-000366,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000200,al-000368,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000201,al-000370,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000202,al-000372,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000203,al-000374,ent-002,analyst-15,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000204,al-000375,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000205,al-000376,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000206,al-000378,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000207,al-000380,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000208,al-000382,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000209,al-000384,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000210,al-000386,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000211,al-000388,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000212,al-000390,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000213,al-000391,ent-007,analyst-08,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000214,al-000392,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000215,al-000394,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000216,al-000396,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000217,al-000398,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000218,al-000400,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000219,al-000402,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000220,al-000404,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000221,al-000406,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000222,al-000408,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000223,al-000410,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000224,al-000412,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000225,al-000414,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000226,al-000416,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000227,al-000418,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000228,al-000420,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000229,al-000422,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000230,al-000424,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000231,al-000425,ent-005,analyst-18,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000232,al-000426,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000233,al-000428,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000234,al-000430,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000235,al-000432,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000236,al-000434,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000237,al-000435,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000238,al-000436,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000239,al-000438,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000240,al-000440,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000241,al-000442,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000242,al-000444,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000243,al-000446,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000244,al-000448,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000245,al-000450,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000246,al-000452,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000247,al-000454,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000248,al-000456,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000249,al-000458,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000250,al-000459,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000251,al-000460,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000252,al-000462,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000253,al-000464,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000254,al-000466,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000255,al-000468,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000256,al-000470,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000257,al-000472,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000258,al-000474,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000259,al-000476,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000260,al-000478,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000261,al-000480,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000262,al-000482,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000263,al-000484,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000264,al-000486,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000265,al-000488,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000266,al-000490,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000267,al-000492,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000268,al-000493,ent-001,analyst-14,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000269,al-000494,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000270,al-000495,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000271,al-000496,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
